InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
552232,40220C,BLUE PEN,29,2011-09-13 04:00:00,86.27,13847,Portugal
552233,53900A,BLUE PEN,36,2011-09-13 04:30:00,35.91,16074,United Kingdom
552234,72384B,CLOCK,2,2011-09-13 05:00:00,54.8,13829,Australia
552235,91610A,GIFT BAG,33,2011-09-13 05:30:00,118.55,14676,Norway
552236,27509A,CANDLE,15,2011-09-13 06:00:00,87.72,17939,United Kingdom
552237,44503A,RED MUG,48,2011-09-13 06:30:00,135.32,13407,Germany
552238,50328B,PHOTO FRAME,33,2011-09-13 07:00:00,132.04,16521,Italy
552239,72499B,CANDLE,28,2011-09-13 07:30:00,26.12,15368,Norway
552240,16815A,CANDLE,13,2011-09-13 08:00:00,145.35,18147,Norway
552241,79113B,BLUE PEN,3,2011-09-13 08:30:00,1.39,17499,Portugal
552242,48254A,CANDLE,43,2011-09-13 09:00:00,86.04,18045,Portugal
552243,94557B,WATER BOTTLE,22,2011-09-13 09:30:00,21.39,18000,Germany
552244,37253A,WATER BOTTLE,24,2011-09-13 10:00:00,49.8,16496,Germany
552245,67894B,WHITE MUG,21,2011-09-13 10:30:00,3.37,17846,Italy
552246,66033B,WATER BOTTLE,37,2011-09-13 11:00:00,2.34,17055,United Kingdom
552247,65643C,NOTEBOOK,2,2011-09-13 11:30:00,59.97,13015,Spain
552248,80581C,PHOTO FRAME,46,2011-09-13 12:00:00,107.55,13319,Portugal
552249,26496C,WATER BOTTLE,40,2011-09-13 12:30:00,12.88,13631,Netherlands
552250,71121C,RED MUG,2,2011-09-13 13:00:00,98.32,14530,Spain
552251,82623C,GIFT BAG,36,2011-09-13 13:30:00,80.4,14839,Germany
552252,63759A,WHITE MUG,38,2011-09-13 14:00:00,69.02,16948,Australia
552253,55544A,CANDLE,36,2011-09-13 14:30:00,124.37,17807,Germany
552254,22847C,CLOCK,7,2011-09-13 15:00:00,64.28,17326,United Kingdom
552255,10218C,BLUE PEN,16,2011-09-13 15:30:00,73.19,14179,Norway
552256,63995B,CLOCK,29,2011-09-13 16:00:00,83.01,15589,Norway
552257,36312B,GIFT BAG,10,2011-09-13 16:30:00,3.15,16757,Australia
552258,17166B,TOY CAR,21,2011-09-13 17:00:00,98.98,14421,France
552259,84808A,NOTEBOOK,40,2011-09-13 17:30:00,28.77,17122,Norway
552260,72023C,CLOCK,17,2011-09-13 18:00:00,8.33,13495,Germany
552261,15766B,BLUE PEN,4,2011-09-13 18:30:00,29.71,16887,Spain
552262,79807B,BLUE PEN,44,2011-09-13 19:00:00,1.49,12828,Portugal
552263,94428A,WATER BOTTLE,32,2011-09-13 19:30:00,4.66,15374,Germany
552264,12354A,CLOCK,16,2011-09-13 20:00:00,95.07,14898,Netherlands
552265,84371C,NOTEBOOK,30,2011-09-13 20:30:00,110.76,12385,Belgium
552266,94193B,PHOTO FRAME,28,2011-09-13 21:00:00,110.84,17547,Spain
552267,73187B,RED MUG,44,2011-09-13 21:30:00,35.48,12367,France
552268,48217B,PHOTO FRAME,47,2011-09-13 22:00:00,140.64,17258,Germany
552269,19246C,CANDLE,45,2011-09-13 22:30:00,64.82,17590,Portugal
552270,56674C,BLUE PEN,38,2011-09-13 23:00:00,51.39,13169,Spain
552271,66974B,TOY CAR,40,2011-09-13 23:30:00,118.83,13067,Australia
552272,43991C,RED MUG,19,2011-09-14 00:00:00,43.65,17922,Norway
552273,46193C,PHOTO FRAME,2,2011-09-14 00:30:00,126.43,17941,Italy
552274,91206C,PHOTO FRAME,48,2011-09-14 01:00:00,71.32,12658,France
552275,90711C,RED MUG,9,2011-09-14 01:30:00,122.13,17435,Spain
552276,71035C,BLUE PEN,29,2011-09-14 02:00:00,133.71,14590,Portugal
552277,75251A,WATER BOTTLE,15,2011-09-14 02:30:00,56.45,12559,Netherlands
552278,83028C,TOY CAR,30,2011-09-14 03:00:00,139.45,15069,France
552279,14103C,GIFT BAG,9,2011-09-14 03:30:00,59.58,15167,Australia
552280,82872B,WATER BOTTLE,33,2011-09-14 04:00:00,133.6,16150,Spain
552281,45099C,CLOCK,48,2011-09-14 04:30:00,135.25,14685,Germany
552282,96004A,NOTEBOOK,19,2011-09-14 05:00:00,94.23,17028,Norway
552283,96764C,WATER BOTTLE,7,2011-09-14 05:30:00,18.85,17199,Australia
552284,10538C,WHITE MUG,27,2011-09-14 06:00:00,78.52,16253,Portugal
552285,90336B,TOY CAR,19,2011-09-14 06:30:00,62.01,15755,Australia
552286,42620A,RED MUG,29,2011-09-14 07:00:00,46.47,12994,Portugal
552287,26923B,WHITE MUG,16,2011-09-14 07:30:00,78.45,15165,France
552288,77675A,WHITE MUG,25,2011-09-14 08:00:00,81.1,13136,Spain
552289,80682A,CANDLE,31,2011-09-14 08:30:00,31.67,14701,Italy
552290,47813A,BLUE PEN,32,2011-09-14 09:00:00,77.25,14408,Spain
552291,60192C,NOTEBOOK,18,2011-09-14 09:30:00,106.52,15941,Netherlands
552292,73530A,CLOCK,31,2011-09-14 10:00:00,63.27,14017,Germany
552293,87301A,BLUE PEN,9,2011-09-14 10:30:00,55.51,13107,France
552294,38619B,TOY CAR,21,2011-09-14 11:00:00,134.45,14162,Italy
552295,77242B,GIFT BAG,30,2011-09-14 11:30:00,53.28,14638,Spain
552296,43949B,RED MUG,7,2011-09-14 12:00:00,133.22,15500,Portugal
552297,99355C,WATER BOTTLE,23,2011-09-14 12:30:00,86.76,15833,France
552298,77322A,BLUE PEN,45,2011-09-14 13:00:00,40.12,12940,Spain
552299,86582C,BLUE PEN,33,2011-09-14 13:30:00,8.57,14594,Italy
552300,72446A,WHITE MUG,30,2011-09-14 14:00:00,8.94,13385,United Kingdom
552301,78927B,GIFT BAG,32,2011-09-14 14:30:00,70.06,13628,Portugal
552302,55242A,GIFT BAG,5,2011-09-14 15:00:00,107.82,15696,Germany
552303,13863C,RED MUG,12,2011-09-14 15:30:00,113.5,14225,Netherlands
552304,70081A,BLUE PEN,47,2011-09-14 16:00:00,82.45,17424,Italy
552305,82185C,CLOCK,40,2011-09-14 16:30:00,148.45,17136,United Kingdom
552306,10238A,CLOCK,12,2011-09-14 17:00:00,25.17,13576,France
552307,20077C,BLUE PEN,20,2011-09-14 17:30:00,140.31,17955,Portugal
552308,11317C,BLUE PEN,26,2011-09-14 18:00:00,34.37,16839,Norway
552309,84056B,BLUE PEN,40,2011-09-14 18:30:00,46.53,13024,Italy
552310,77611B,NOTEBOOK,32,2011-09-14 19:00:00,143.11,12968,Australia
552311,49749C,RED MUG,10,2011-09-14 19:30:00,16.41,18000,Norway
552312,96282B,WHITE MUG,49,2011-09-14 20:00:00,12.11,12542,Norway
552313,40918A,PHOTO FRAME,10,2011-09-14 20:30:00,80.38,16294,Belgium
552314,73759C,CLOCK,29,2011-09-14 21:00:00,138.28,15809,Portugal
552315,57679C,WHITE MUG,48,2011-09-14 21:30:00,90.56,12956,United Kingdom
552316,47052B,NOTEBOOK,2,2011-09-14 22:00:00,117.46,17197,Spain
552317,43148B,GIFT BAG,23,2011-09-14 22:30:00,116.74,14061,Spain
552318,92079C,GIFT BAG,35,2011-09-14 23:00:00,49.46,15950,Netherlands
552319,66288B,WHITE MUG,9,2011-09-14 23:30:00,17.56,16623,Australia
552320,26613C,TOY CAR,22,2011-09-15 00:00:00,146.34,15234,Italy
552321,18798C,CLOCK,8,2011-09-15 00:30:00,22.38,16999,Germany
552322,71950A,TOY CAR,44,2011-09-15 01:00:00,121.53,13152,Norway
552323,69023A,TOY CAR,28,2011-09-15 01:30:00,63.12,17743,France
552324,33538B,GIFT BAG,7,2011-09-15 02:00:00,42.3,12748,United Kingdom
552325,26533A,NOTEBOOK,7,2011-09-15 02:30:00,117.58,12483,United Kingdom
552326,65075A,CANDLE,44,2011-09-15 03:00:00,74.91,15173,Italy
552327,11999A,CANDLE,36,2011-09-15 03:30:00,18.35,16764,Portugal
552328,55271B,NOTEBOOK,19,2011-09-15 04:00:00,138.05,12450,Italy
552329,57499B,WATER BOTTLE,33,2011-09-15 04:30:00,94.08,17395,Australia
552330,59548B,PHOTO FRAME,50,2011-09-15 05:00:00,13.14,17798,United Kingdom
552331,52324B,NOTEBOOK,40,2011-09-15 05:30:00,81.08,13267,Spain
552332,57263C,TOY CAR,6,2011-09-15 06:00:00,24.94,12926,Belgium
552333,78584A,CANDLE,30,2011-09-15 06:30:00,5.1,15429,Italy
552334,61387A,PHOTO FRAME,14,2011-09-15 07:00:00,89.24,18282,United Kingdom
552335,24352B,PHOTO FRAME,22,2011-09-15 07:30:00,116.8,17448,United Kingdom
552336,53148C,CLOCK,35,2011-09-15 08:00:00,120.38,17153,Germany
552337,19673B,BLUE PEN,38,2011-09-15 08:30:00,9.07,12615,Germany
552338,22470B,GIFT BAG,5,2011-09-15 09:00:00,101.04,17178,Germany
552339,30582C,BLUE PEN,26,2011-09-15 09:30:00,111.66,14128,Australia
552340,46439C,GIFT BAG,27,2011-09-15 10:00:00,92.06,17038,Spain
552341,52376C,BLUE PEN,5,2011-09-15 10:30:00,148.14,15041,France
552342,44421A,WATER BOTTLE,13,2011-09-15 11:00:00,129.07,15926,Portugal
552343,53713C,WATER BOTTLE,7,2011-09-15 11:30:00,91.91,13075,Germany
552344,59144A,RED MUG,16,2011-09-15 12:00:00,121.38,14287,Portugal
552345,61732B,BLUE PEN,7,2011-09-15 12:30:00,125.44,18060,United Kingdom
552346,25242A,PHOTO FRAME,37,2011-09-15 13:00:00,67.82,14401,Spain
552347,27211C,RED MUG,44,2011-09-15 13:30:00,0.69,13176,Netherlands
552348,75065A,NOTEBOOK,31,2011-09-15 14:00:00,64.49,14169,Australia
552349,53022B,CANDLE,44,2011-09-15 14:30:00,147.71,17177,Norway
552350,83827B,GIFT BAG,23,2011-09-15 15:00:00,29.64,14957,Australia
552351,72663A,TOY CAR,47,2011-09-15 15:30:00,127.18,12810,Spain
552352,31481B,CANDLE,31,2011-09-15 16:00:00,16.34,13172,Italy
552353,89400B,RED MUG,49,2011-09-15 16:30:00,89.91,13698,Belgium
552354,46528A,WHITE MUG,43,2011-09-15 17:00:00,114.49,13089,Norway
552355,18336A,WHITE MUG,44,2011-09-15 17:30:00,139.88,15226,France
552356,59568C,BLUE PEN,34,2011-09-15 18:00:00,1.24,15067,United Kingdom
552357,55953A,PHOTO FRAME,15,2011-09-15 18:30:00,88.8,13035,Germany
552358,67280B,RED MUG,11,2011-09-15 19:00:00,14.75,16772,Norway
552359,45396A,BLUE PEN,19,2011-09-15 19:30:00,137.32,13220,United Kingdom
552360,11261A,CANDLE,20,2011-09-15 20:00:00,95.34,15805,Belgium
552361,40097A,RED MUG,11,2011-09-15 20:30:00,70.11,14229,Netherlands
552362,49218A,GIFT BAG,48,2011-09-15 21:00:00,40.63,14397,Netherlands
552363,74065C,CLOCK,35,2011-09-15 21:30:00,143.7,12539,Italy
552364,94974A,WATER BOTTLE,12,2011-09-15 22:00:00,44.06,12705,Italy
552365,58106B,BLUE PEN,34,2011-09-15 22:30:00,78.0,17842,Italy
552366,63349C,BLUE PEN,50,2011-09-15 23:00:00,77.98,18138,Australia
552367,34608B,TOY CAR,17,2011-09-15 23:30:00,126.51,13781,Spain
552368,16001B,PHOTO FRAME,25,2011-09-16 00:00:00,3.62,17989,Germany
552369,50496B,CANDLE,44,2011-09-16 00:30:00,79.69,13740,Australia
552370,52864C,CLOCK,26,2011-09-16 01:00:00,114.26,17605,Norway
552371,83247B,PHOTO FRAME,47,2011-09-16 01:30:00,65.69,15005,France
552372,13496B,NOTEBOOK,42,2011-09-16 02:00:00,21.02,14948,Australia
552373,73348C,WATER BOTTLE,48,2011-09-16 02:30:00,30.52,14019,Portugal
552374,16363A,WATER BOTTLE,8,2011-09-16 03:00:00,83.53,14886,Belgium
552375,78423A,TOY CAR,20,2011-09-16 03:30:00,133.88,14210,Germany
552376,62417B,RED MUG,21,2011-09-16 04:00:00,5.09,17983,Norway
552377,29471B,GIFT BAG,40,2011-09-16 04:30:00,116.52,12465,France
552378,13580B,CLOCK,34,2011-09-16 05:00:00,146.48,17697,Belgium
552379,71904A,GIFT BAG,9,2011-09-16 05:30:00,75.6,13095,Germany
552380,24738C,PHOTO FRAME,26,2011-09-16 06:00:00,82.56,16553,France
552381,42063C,NOTEBOOK,41,2011-09-16 06:30:00,41.03,14466,France
552382,55756A,PHOTO FRAME,6,2011-09-16 07:00:00,145.73,12536,Australia
552383,46104C,TOY CAR,37,2011-09-16 07:30:00,56.17,14880,Portugal
552384,61326A,RED MUG,41,2011-09-16 08:00:00,44.58,16852,Germany
552385,19212A,PHOTO FRAME,39,2011-09-16 08:30:00,9.13,15816,Netherlands
552386,90250B,GIFT BAG,44,2011-09-16 09:00:00,56.71,14727,Spain
552387,25432C,CANDLE,15,2011-09-16 09:30:00,57.85,17714,Italy
552388,88781A,WHITE MUG,24,2011-09-16 10:00:00,148.16,16440,Belgium
552389,86780B,NOTEBOOK,41,2011-09-16 10:30:00,116.63,17967,Norway
552390,57502A,CLOCK,5,2011-09-16 11:00:00,19.29,18238,United Kingdom
552391,57522A,WATER BOTTLE,10,2011-09-16 11:30:00,58.91,15894,Germany
552392,49581A,NOTEBOOK,16,2011-09-16 12:00:00,26.19,15213,Spain
552393,36521C,GIFT BAG,33,2011-09-16 12:30:00,19.64,14371,United Kingdom
552394,82532C,PHOTO FRAME,3,2011-09-16 13:00:00,24.01,17699,Norway
552395,59285B,WATER BOTTLE,7,2011-09-16 13:30:00,84.18,13220,Spain
552396,34125B,WATER BOTTLE,29,2011-09-16 14:00:00,100.3,17913,Italy
552397,67360B,TOY CAR,28,2011-09-16 14:30:00,50.47,13297,Belgium
552398,80843A,NOTEBOOK,13,2011-09-16 15:00:00,139.35,14519,Spain
552399,89925C,WATER BOTTLE,24,2011-09-16 15:30:00,131.58,17867,Italy
552400,82390A,NOTEBOOK,6,2011-09-16 16:00:00,57.63,15194,Australia
552401,66347A,WHITE MUG,47,2011-09-16 16:30:00,107.22,15839,United Kingdom
552402,87312C,TOY CAR,38,2011-09-16 17:00:00,106.6,13079,Germany
552403,99231B,NOTEBOOK,6,2011-09-16 17:30:00,54.17,17305,Netherlands
552404,33285B,RED MUG,41,2011-09-16 18:00:00,139.63,15643,United Kingdom
552405,25110B,CANDLE,21,2011-09-16 18:30:00,19.38,15570,Italy
552406,77614A,BLUE PEN,14,2011-09-16 19:00:00,5.5,17263,Netherlands
552407,55959B,PHOTO FRAME,49,2011-09-16 19:30:00,17.51,17751,Germany
552408,88657A,PHOTO FRAME,19,2011-09-16 20:00:00,16.53,16389,Portugal
552409,53170B,RED MUG,40,2011-09-16 20:30:00,69.53,13452,Norway
552410,44356C,TOY CAR,30,2011-09-16 21:00:00,58.75,17541,Australia
552411,64601A,NOTEBOOK,18,2011-09-16 21:30:00,125.05,16587,Spain
552412,28577C,PHOTO FRAME,21,2011-09-16 22:00:00,110.6,16463,Italy
552413,88471B,WHITE MUG,36,2011-09-16 22:30:00,118.74,15880,United Kingdom
552414,16058B,CLOCK,25,2011-09-16 23:00:00,18.77,13596,Australia
552415,71319C,TOY CAR,24,2011-09-16 23:30:00,124.26,17413,Germany
552416,24518B,NOTEBOOK,38,2011-09-17 00:00:00,122.79,17681,United Kingdom
552417,92343A,CANDLE,45,2011-09-17 00:30:00,89.51,18258,Norway
552418,80264C,PHOTO FRAME,28,2011-09-17 01:00:00,65.14,14478,Portugal
552419,80069C,CLOCK,20,2011-09-17 01:30:00,69.54,14158,Germany
552420,14545C,CANDLE,43,2011-09-17 02:00:00,142.48,13269,Australia
552421,98397C,CANDLE,21,2011-09-17 02:30:00,114.59,14343,Portugal
552422,52780A,BLUE PEN,14,2011-09-17 03:00:00,93.74,15289,Australia
552423,64187B,NOTEBOOK,29,2011-09-17 03:30:00,4.32,16632,Netherlands
552424,14318A,TOY CAR,22,2011-09-17 04:00:00,124.24,17015,Spain
552425,81371C,TOY CAR,26,2011-09-17 04:30:00,96.3,12830,Italy
552426,15961C,NOTEBOOK,14,2011-09-17 05:00:00,107.39,13520,Germany
552427,38585B,CANDLE,13,2011-09-17 05:30:00,104.32,12588,Italy
552428,32647C,WATER BOTTLE,33,2011-09-17 06:00:00,146.35,15559,Spain
552429,93371B,RED MUG,12,2011-09-17 06:30:00,123.67,15496,Australia
552430,72638C,GIFT BAG,43,2011-09-17 07:00:00,56.57,17035,Italy
552431,22676B,BLUE PEN,35,2011-09-17 07:30:00,12.73,17778,Portugal
552432,92572C,CANDLE,45,2011-09-17 08:00:00,135.19,13266,Belgium
552433,67431B,RED MUG,45,2011-09-17 08:30:00,101.18,16752,Portugal
552434,63015C,RED MUG,48,2011-09-17 09:00:00,77.3,14823,Germany
552435,45010C,PHOTO FRAME,40,2011-09-17 09:30:00,136.88,16781,Portugal
552436,73217B,BLUE PEN,38,2011-09-17 10:00:00,93.99,14416,Australia
552437,81704A,GIFT BAG,39,2011-09-17 10:30:00,45.24,17127,Norway
552438,26398A,WHITE MUG,43,2011-09-17 11:00:00,88.95,17546,Spain
552439,40936B,WATER BOTTLE,30,2011-09-17 11:30:00,117.03,14682,Australia
552440,73329A,BLUE PEN,18,2011-09-17 12:00:00,100.64,12895,United Kingdom
552441,76074B,WATER BOTTLE,17,2011-09-17 12:30:00,77.31,18176,Norway
552442,63655B,TOY CAR,12,2011-09-17 13:00:00,25.59,13877,Germany
552443,80701A,PHOTO FRAME,45,2011-09-17 13:30:00,16.29,18000,Netherlands
552444,88408B,PHOTO FRAME,49,2011-09-17 14:00:00,116.1,15201,Norway
552445,31154C,CANDLE,2,2011-09-17 14:30:00,111.68,18040,Australia
552446,99696A,GIFT BAG,21,2011-09-17 15:00:00,29.66,15609,Spain
552447,31528A,WATER BOTTLE,13,2011-09-17 15:30:00,118.12,13434,Spain
552448,79674B,CANDLE,13,2011-09-17 16:00:00,75.58,16206,Italy
552449,40612B,BLUE PEN,5,2011-09-17 16:30:00,104.27,16371,United Kingdom
552450,28199B,WATER BOTTLE,16,2011-09-17 17:00:00,24.55,12682,France
552451,43648A,TOY CAR,8,2011-09-17 17:30:00,76.02,15971,Italy
552452,76815A,RED MUG,38,2011-09-17 18:00:00,23.28,14220,Australia
552453,46395C,CLOCK,45,2011-09-17 18:30:00,134.96,15738,France
552454,25978B,PHOTO FRAME,14,2011-09-17 19:00:00,64.15,16613,France
552455,88490A,BLUE PEN,30,2011-09-17 19:30:00,27.01,12580,Netherlands
552456,80915B,TOY CAR,11,2011-09-17 20:00:00,60.43,17537,Italy
552457,95058C,NOTEBOOK,23,2011-09-17 20:30:00,8.41,17650,Spain
552458,23554A,CLOCK,49,2011-09-17 21:00:00,125.9,13470,France
552459,75681B,CLOCK,40,2011-09-17 21:30:00,4.15,15888,Portugal
552460,99194A,RED MUG,38,2011-09-17 22:00:00,54.34,17687,Norway
552461,58424A,WHITE MUG,39,2011-09-17 22:30:00,27.84,17772,Netherlands
552462,46946B,TOY CAR,19,2011-09-17 23:00:00,63.49,12411,Netherlands
552463,64706B,PHOTO FRAME,50,2011-09-17 23:30:00,146.14,15737,Portugal
552464,56979A,TOY CAR,23,2011-09-18 00:00:00,50.9,16677,Portugal
552465,73077A,WHITE MUG,41,2011-09-18 00:30:00,138.85,17787,Australia
552466,52481A,WATER BOTTLE,33,2011-09-18 01:00:00,1.08,14000,Italy
552467,60858B,BLUE PEN,39,2011-09-18 01:30:00,93.08,16218,Italy
552468,75083C,TOY CAR,29,2011-09-18 02:00:00,51.19,13447,France
552469,94121B,BLUE PEN,9,2011-09-18 02:30:00,123.08,12434,Germany
552470,87307A,PHOTO FRAME,7,2011-09-18 03:00:00,45.7,14409,Netherlands
552471,86710C,NOTEBOOK,13,2011-09-18 03:30:00,139.65,14110,France
552472,95667B,CANDLE,36,2011-09-18 04:00:00,80.49,15564,Germany
552473,77212C,WHITE MUG,24,2011-09-18 04:30:00,127.58,12884,Australia
552474,58136C,WATER BOTTLE,28,2011-09-18 05:00:00,76.78,16728,France
552475,11331B,CLOCK,42,2011-09-18 05:30:00,54.58,15845,France
552476,73717A,GIFT BAG,47,2011-09-18 06:00:00,134.66,17771,Italy
552477,61272B,TOY CAR,24,2011-09-18 06:30:00,3.08,14978,Italy
552478,99210C,GIFT BAG,42,2011-09-18 07:00:00,77.52,13842,France
552479,22286C,CLOCK,2,2011-09-18 07:30:00,124.3,12391,Spain
552480,61691A,NOTEBOOK,37,2011-09-18 08:00:00,47.31,16972,Portugal
552481,29643A,PHOTO FRAME,4,2011-09-18 08:30:00,100.25,12868,Italy
552482,14078C,RED MUG,13,2011-09-18 09:00:00,88.9,14398,Spain
552483,38800B,BLUE PEN,4,2011-09-18 09:30:00,19.72,15678,Spain
552484,37746A,RED MUG,20,2011-09-18 10:00:00,129.56,17050,Portugal
552485,49521A,BLUE PEN,24,2011-09-18 10:30:00,89.52,16029,France
552486,21508C,WATER BOTTLE,24,2011-09-18 11:00:00,116.16,14609,Spain
552487,42327A,NOTEBOOK,35,2011-09-18 11:30:00,90.15,14976,Netherlands
552488,19790B,TOY CAR,38,2011-09-18 12:00:00,46.64,15705,Portugal
552489,49316B,GIFT BAG,25,2011-09-18 12:30:00,132.46,16976,Spain
552490,67596A,CANDLE,42,2011-09-18 13:00:00,142.01,12801,Spain
552491,35013B,PHOTO FRAME,49,2011-09-18 13:30:00,72.74,16900,Australia
552492,93194C,NOTEBOOK,7,2011-09-18 14:00:00,135.11,13879,Australia
552493,60919B,WHITE MUG,32,2011-09-18 14:30:00,13.23,17871,Australia
552494,80592C,TOY CAR,10,2011-09-18 15:00:00,137.6,12885,Spain
552495,12559A,TOY CAR,38,2011-09-18 15:30:00,50.96,13152,Belgium
552496,15323C,TOY CAR,18,2011-09-18 16:00:00,60.74,13588,United Kingdom
552497,93141A,BLUE PEN,23,2011-09-18 16:30:00,52.14,13768,Germany
552498,73339A,TOY CAR,4,2011-09-18 17:00:00,46.9,13503,Portugal
552499,52879C,WHITE MUG,28,2011-09-18 17:30:00,12.95,15798,Italy
552500,99466A,PHOTO FRAME,22,2011-09-18 18:00:00,93.38,17753,Netherlands
552501,54751C,CLOCK,18,2011-09-18 18:30:00,137.85,17580,Australia
552502,43739A,WATER BOTTLE,23,2011-09-18 19:00:00,72.62,12761,Portugal
552503,13012B,NOTEBOOK,3,2011-09-18 19:30:00,63.57,16644,Norway
552504,56534A,PHOTO FRAME,28,2011-09-18 20:00:00,103.07,17024,Germany
552505,12607A,RED MUG,35,2011-09-18 20:30:00,121.99,14354,Italy
552506,80133B,BLUE PEN,39,2011-09-18 21:00:00,133.17,14748,Australia
552507,19629A,CLOCK,35,2011-09-18 21:30:00,47.46,12717,Germany
552508,91854A,NOTEBOOK,46,2011-09-18 22:00:00,12.27,16573,Portugal
552509,28196C,PHOTO FRAME,5,2011-09-18 22:30:00,108.89,17852,Norway
552510,80545B,WHITE MUG,5,2011-09-18 23:00:00,102.98,16822,Norway
552511,97786C,TOY CAR,2,2011-09-18 23:30:00,112.47,15835,Australia
552512,43943A,BLUE PEN,32,2011-09-19 00:00:00,113.7,14307,Norway
552513,45252A,TOY CAR,8,2011-09-19 00:30:00,73.99,13400,Netherlands
552514,86348A,RED MUG,17,2011-09-19 01:00:00,121.07,12952,Italy
552515,36385B,WHITE MUG,3,2011-09-19 01:30:00,3.35,12841,France
552516,15506B,BLUE PEN,21,2011-09-19 02:00:00,149.57,17545,Netherlands
552517,41915B,PHOTO FRAME,40,2011-09-19 02:30:00,126.31,17502,Australia
552518,44708B,CLOCK,40,2011-09-19 03:00:00,109.66,18093,Italy
552519,79208C,WATER BOTTLE,26,2011-09-19 03:30:00,26.16,15954,Norway
552520,10041C,WATER BOTTLE,49,2011-09-19 04:00:00,1.0,17643,United Kingdom
552521,55544A,NOTEBOOK,24,2011-09-19 04:30:00,146.48,15214,United Kingdom
552522,18535C,CANDLE,32,2011-09-19 05:00:00,38.41,17361,Netherlands
552523,92396A,GIFT BAG,3,2011-09-19 05:30:00,73.65,16533,France
552524,26787B,CLOCK,45,2011-09-19 06:00:00,36.05,14377,Spain
552525,10764A,NOTEBOOK,23,2011-09-19 06:30:00,36.45,17556,Italy
552526,89748A,CANDLE,47,2011-09-19 07:00:00,47.82,17932,Italy
552527,46777A,TOY CAR,17,2011-09-19 07:30:00,91.02,14825,United Kingdom
552528,54851C,NOTEBOOK,4,2011-09-19 08:00:00,135.7,14492,Italy
552529,87263A,NOTEBOOK,36,2011-09-19 08:30:00,93.29,14677,Norway
552530,31638C,BLUE PEN,37,2011-09-19 09:00:00,4.11,17824,Australia
552531,88733C,CLOCK,27,2011-09-19 09:30:00,55.6,13254,Norway
552532,56235B,TOY CAR,36,2011-09-19 10:00:00,143.2,13412,Netherlands
552533,35155A,CANDLE,21,2011-09-19 10:30:00,145.81,14374,Italy
552534,48804A,WHITE MUG,4,2011-09-19 11:00:00,120.19,12927,Italy
552535,46525C,CLOCK,6,2011-09-19 11:30:00,117.82,12965,Portugal
552536,23900B,CLOCK,2,2011-09-19 12:00:00,57.08,13228,Italy
552537,70710B,NOTEBOOK,32,2011-09-19 12:30:00,92.02,13587,Australia
552538,53086C,WATER BOTTLE,10,2011-09-19 13:00:00,66.26,16168,Netherlands
552539,90317A,BLUE PEN,42,2011-09-19 13:30:00,136.76,16792,Germany
552540,48687C,GIFT BAG,30,2011-09-19 14:00:00,48.34,16628,Belgium
552541,70490C,RED MUG,39,2011-09-19 14:30:00,82.91,16757,Germany
552542,12285B,GIFT BAG,34,2011-09-19 15:00:00,23.83,14693,Australia
552543,98704C,NOTEBOOK,4,2011-09-19 15:30:00,84.21,13704,Belgium
552544,74792C,PHOTO FRAME,23,2011-09-19 16:00:00,100.08,13441,Portugal
552545,52356C,PHOTO FRAME,6,2011-09-19 16:30:00,125.39,15158,Belgium
552546,47080C,RED MUG,35,2011-09-19 17:00:00,27.83,14874,Norway
552547,46008A,CANDLE,35,2011-09-19 17:30:00,56.7,16597,United Kingdom
552548,64574C,NOTEBOOK,6,2011-09-19 18:00:00,88.73,12802,Spain
552549,38618B,TOY CAR,12,2011-09-19 18:30:00,8.45,17140,Belgium
552550,74491B,CANDLE,4,2011-09-19 19:00:00,17.66,12407,Portugal
552551,42270B,PHOTO FRAME,21,2011-09-19 19:30:00,132.55,18171,Netherlands
552552,62435A,RED MUG,33,2011-09-19 20:00:00,148.77,15019,France
552553,12885C,CANDLE,35,2011-09-19 20:30:00,136.67,13391,Italy
552554,53284A,RED MUG,9,2011-09-19 21:00:00,47.19,14628,Australia
552555,97988B,BLUE PEN,9,2011-09-19 21:30:00,128.62,15073,Germany
552556,88800A,TOY CAR,15,2011-09-19 22:00:00,37.58,17691,Australia
552557,86380B,PHOTO FRAME,26,2011-09-19 22:30:00,37.38,17658,Spain
552558,24566B,NOTEBOOK,15,2011-09-19 23:00:00,14.46,12460,United Kingdom
552559,59554B,RED MUG,25,2011-09-19 23:30:00,12.92,15901,United Kingdom
552560,90157A,BLUE PEN,16,2011-09-20 00:00:00,52.65,13665,Spain
552561,35821A,NOTEBOOK,2,2011-09-20 00:30:00,135.54,13219,Australia
552562,13096B,CLOCK,43,2011-09-20 01:00:00,29.83,16267,France
552563,44249A,CLOCK,19,2011-09-20 01:30:00,128.13,13498,Australia
552564,11173A,WATER BOTTLE,14,2011-09-20 02:00:00,35.41,16398,United Kingdom
552565,33672C,TOY CAR,12,2011-09-20 02:30:00,124.0,16201,Netherlands
552566,13764A,NOTEBOOK,8,2011-09-20 03:00:00,139.9,13673,Netherlands
552567,41806C,WATER BOTTLE,29,2011-09-20 03:30:00,79.33,13450,Spain
552568,88084A,GIFT BAG,39,2011-09-20 04:00:00,34.98,13356,Italy
552569,39959B,RED MUG,29,2011-09-20 04:30:00,68.23,12972,United Kingdom
